student_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30
unhcomp 101,B,C,B,D,E,B,D,A,A,D,B,B,D,B,A,D,A,C,A,C,C,A,C,E,C,D,B,B,C,C
unhcomp 102,B,C,D,D,E,B,D,D,A,D,B,B,D,B,A,D,A,A,B,C,C,C,A,B,B,C,B,B,D,C
unhcomp 103,B,C,B,D,E,B,D,D,A,D,B,B,D,B,A,D,A,B,A,A,D,C,C,E,B,C,B,B,B,C
unhcomp 104,B,C,B,D,E,B,D,D,A,D,B,B,D,B,A,D,A,E,B,C,C,A,B,B,C,C,B,B,C,C
unhcomp 105,B,C,B,B,E,B,D,A,A,D,B,B,D,C,A,D,A,B,A,A,E,B,C,B,C,C,D,B,D,A
unhcomp 107,E,C,B,C,B,A,D,C,E,A,B,B,D,B,B,C,A,A,E,B,A,A,C,E,C,A,E,D,D,A
unhcomp 108,B,C,B,D,E,A,D,B,A,D,B,B,A,A,A,D,A,B,A,A,C,C,A,E,C,C,C,B,D,C
unhcomp 109,B,C,B,D,E,B,D,D,A,D,E,B,D,B,A,D,A,A,A,C,D,A,C,E,C,C,B,B,A,C
unhcomp 110,B,C,D,B,E,B,D,D,C,A,B,B,D,A,B,C,A,A,A,A,D,B,C,E,D,C,D,B,B,B
unhcomp 112,B,C,B,D,C,B,D,D,A,D,B,B,D,B,A,C,A,B,A,A,C,A,C,E,D,C,B,B,D,C
unhcomp 113,B,C,B,D,E,B,E,E,A,B,B,B,D,B,A,D,A,B,A,A,D,C,C,,D,A,B,B,,C
unhcomp 114,B,C,B,D,E,B,D,A,A,D,B,B,D,B,A,D,A,B,A,C,C,A,C,B,C,C,B,B,A,C
unhcomp 116,B,C,B,D,D,B,D,D,A,D,B,B,C,B,A,D,A,B,A,D,C,C,A,B,C,C,B,B,A,C
unhcomp 117,B,C,B,B,E,B,D,E,A,D,B,B,D,B,A,D,A,B,A,A,C,A,C,E,C,C,B,B,D,C
unhcomp 118,B,C,B,D,E,B,D,D,A,C,B,B,C,B,A,C,A,B,A,A,D,C,A,E,C,C,D,B,D,C
unhcomp 119,B,C,B,C,E,A,D,,A,D,C,B,D,A,A,C,A,E,A,C,C,C,B,,D,C,C,B,D,C
unhcomp 120,B,C,B,C,E,A,D,A,A,A,E,B,D,C,B,B,B,A,B,C,C,C,A,D,A,C,,B,B,C
unhcomp 121,A,C,D,C,E,B,D,C,A,C,E,B,A,B,A,B,A,E,E,D,E,B,C,E,B,A,B,B,C,C
